benchmark,thumb_size,method,rows,correct,accuracy,avg_text_tokens,avg_image_tokens,avg_total_tokens,avg_processor_time_sec,avg_generate_time_sec,avg_total_time_sec,avg_peak_allocated_mb,max_peak_allocated_mb,avg_peak_reserved_mb,max_peak_reserved_mb,avg_original_width,avg_original_height,avg_resized_width,avg_resized_height,accuracy_percent,vlm_single_accuracy,vlm_single_accuracy_percent,vlm_single_rows,vlm_single_correct
hrbench_4k,2160,THUMB_AREA_VLM_2160,800,600,0.75,64.855,18032.02,18096.875,0.12115637849869582,0.6849580383938434,1.1245594120199984,9718.486697998047,9765.89453125,9945.685,10118.0,4023.935,3502.94,2406.6,1993.04,75.0,0.75,75.0,800,600
hrbench_4k,1980,THUMB_AREA_VLM_1980,800,588,0.735,64.855,15371.08,15435.935,0.096796324171201,0.531495169428913,0.9310884541812947,9535.598347167968,9558.8095703125,9781.155,9898.0,4023.935,3502.94,2214.52,1835.96,73.5,0.75,75.0,800,600
hrbench_4k,1800,THUMB_AREA_VLM_1800,800,581,0.72625,64.855,12568.6,12633.455,0.06098164397240335,0.4237666254837103,0.7669970518361459,9345.566313476562,9381.54296875,9556.59,9656.0,4023.935,3502.94,2002.28,1658.02,72.625,0.75,75.0,800,600
hrbench_4k,1600,THUMB_AREA_VLM_1600,800,567,0.70875,64.855,10011.38,10076.235,0.060691555784943556,0.34056632720875596,0.6701174837724284,9170.42724609375,9184.96484375,9316.1,9396.0,4023.935,3502.94,1782.06,1477.0,70.875,0.75,75.0,800,600
hrbench_4k,1440,THUMB_AREA_VLM_1440,800,556,0.695,64.855,8104.76,8169.615,0.047245742149906914,0.285718327001137,0.5861301961850199,9042.058752441406,9061.65185546875,9185.63,9244.0,4023.935,3502.94,1599.36,1322.58,69.5,0.75,75.0,800,600
hrbench_4k,1280,THUMB_AREA_VLM_1280,800,544,0.68,64.855,6391.98,6456.835,0.03559873568128519,0.23227488322135625,0.5104647638073562,8925.774228515626,8938.33544921875,9048.53,9072.0,4023.935,3502.94,1432.76,1187.9,68.0,0.75,75.0,800,600
hrbench_4k,1080,THUMB_AREA_VLM_1080,800,526,0.6575,64.855,4592.6,4657.455,0.026176163626296853,0.18574092618003474,0.44632212078247163,8806.834482421875,8821.95361328125,8884.85,8926.0,4023.935,3502.94,1212.54,1006.18,65.75,0.75,75.0,800,600
hrbench_4k,960,THUMB_AREA_VLM_960,800,514,0.6425,64.855,3593.6,3658.455,0.02186331056624676,0.16307567007127827,0.40071339669755957,8755.85708984375,8768.3798828125,8800.41,8834.0,4023.935,3502.94,1065.26,882.0,64.25,0.75,75.0,800,600
hrbench_4k,840,THUMB_AREA_VLM_840,800,491,0.61375,64.855,2719.48,2784.335,0.018458916521300304,0.14546162375506694,0.37058445733864687,8691.3966015625,8711.0126953125,8733.33,8766.0,4023.935,3502.94,937.3,776.02,61.375,0.75,75.0,800,600
hrbench_4k,720,THUMB_AREA_VLM_720,800,489,0.61125,64.855,2090.68,2155.535,0.015735297782501854,0.13907991668637745,0.3524248339538053,8646.158295898438,8660.3603515625,8679.21,8694.0,4023.935,3502.94,809.62,670.88,61.12499999999999,0.75,75.0,800,600
