benchmark,method,rows,correct,accuracy,avg_preprocess_time_sec,min_preprocess_time_sec,max_preprocess_time_sec,avg_processor_time_sec,min_processor_time_sec,max_processor_time_sec,avg_prefill_time_sec,min_prefill_time_sec,max_prefill_time_sec,avg_decode_time_sec,min_decode_time_sec,max_decode_time_sec,avg_output_time_sec,min_output_time_sec,max_output_time_sec,avg_input_time_with_preprocess_sec,min_input_time_with_preprocess_sec,max_input_time_with_preprocess_sec,avg_total_time_sec,min_total_time_sec,max_total_time_sec,avg_text_tokens,min_text_tokens,max_text_tokens,avg_image_tokens,min_image_tokens,max_image_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,avg_prefill_tokens_per_sec,min_prefill_tokens_per_sec,max_prefill_tokens_per_sec,avg_decode_tokens_per_sec,min_decode_tokens_per_sec,max_decode_tokens_per_sec,avg_prefill_mem_peak_allocated_mb,min_prefill_mem_peak_allocated_mb,max_prefill_mem_peak_allocated_mb,avg_decode_mem_peak_allocated_mb,min_decode_mem_peak_allocated_mb,max_decode_mem_peak_allocated_mb,avg_overall_peak_allocated_mb,min_overall_peak_allocated_mb,max_overall_peak_allocated_mb,avg_num_objects,min_num_objects,max_num_objects,accuracy_percent
hrbench_4k,Smol_YOLO_Qwen_4B_smol360,10,8,0.8,10.116406050004297,9.119273499993142,15.935899599979166,0.028106010000919925,0.015023999992990866,0.08652910002274439,0.028106010000919925,0.015023999992990866,0.08652910002274439,0.7599433799972758,0.5557009999756701,1.0805200000177138,0.7599433799972758,0.5557009999756701,1.0805200000177138,10.144512060005217,9.147502099978738,15.956313699978637,10.904455440002494,9.80509089998668,16.773696299962467,479.6,447.0,505.0,238.8,188.0,276.0,718.4,635.0,781.0,31168.054726846494,9025.86528456568,42265.70821993118,2.707148417681107,1.850960648546267,3.599057766834259,3337.17890625,3283.59228515625,3376.81298828125,3337.17890625,3283.59228515625,3376.81298828125,3337.17890625,3283.59228515625,3376.81298828125,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol360,10,10,1.0,10.116406050004297,9.119273499993142,15.935899599979166,0.045346669995342384,0.02620809999643825,0.06213559999014251,0.045346669995342384,0.02620809999643825,0.06213559999014251,0.8551036799966824,0.7484595999994781,0.9373337999859359,0.8551036799966824,0.7484595999994781,0.9373337999859359,10.16175271999964,9.15450299999793,15.996022499981336,11.016856399996323,10.057638400001451,16.933356299967272,502.6,470.0,528.0,498.8,448.0,536.0,1001.4,918.0,1064.0,24193.05901649082,16785.868329354937,35027.33888090929,2.359801731713382,2.1337115977573933,2.672154916579859,3546.28740234375,3487.14208984375,3591.23095703125,3546.28740234375,3487.14208984375,3591.23095703125,3546.28740234375,3487.14208984375,3591.23095703125,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol480,10,9,0.9,16.04490455001069,8.539560400007758,18.11061719999998,0.009385109995491803,0.00754279998363927,0.01133570002275519,0.009385109995491803,0.00754279998363927,0.01133570002275519,0.5089067300024908,0.43162149999989197,0.5888733000028878,0.5089067300024908,0.43162149999989197,0.5888733000028878,16.05428966000618,8.549441600014688,18.121952900022734,16.56319639000867,9.081353000015952,18.710826200025622,478.0,445.0,505.0,238.8,188.0,276.0,716.8,633.0,781.0,77054.63886492224,68897.37717408074,83921.0904933195,3.983014352174737,3.39631632133804,4.633689470984417,3335.1890625,3279.22412109375,3380.79248046875,3335.1890625,3279.22412109375,3380.79248046875,3335.1890625,3279.22412109375,3380.79248046875,2.6,2.0,3.0,90.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol480,10,10,1.0,16.04490455001069,8.539560400007758,18.11061719999998,0.01632855999923777,0.014196300006005913,0.01897360000293702,0.01632855999923777,0.014196300006005913,0.01897360000293702,0.7418386699981057,0.6404048000113107,0.8214370999776293,0.7418386699981057,0.6404048000113107,0.8214370999776293,16.061233110009926,8.555160899995826,18.128749600000447,16.803071780008032,9.354750400001649,18.927644800016424,501.0,468.0,528.0,498.8,448.0,536.0,999.8,916.0,1064.0,61414.50830346924,56077.91878374679,66600.42952435392,2.7267651509581707,2.434757329629338,3.1230246868303864,3545.22783203125,3485.96533203125,3591.23095703125,3545.22783203125,3485.96533203125,3591.23095703125,3545.22783203125,3485.96533203125,3591.23095703125,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol540,10,9,0.9,9.53139789000852,9.33433710000827,9.807300099986605,0.02096474999852944,0.007619199983309954,0.028398199996445328,0.02096474999852944,0.007619199983309954,0.028398199996445328,0.7389663699927042,0.6229243999987375,0.8634272000053898,0.7389663699927042,0.6229243999987375,0.8634272000053898,9.55236264000705,9.355514900002163,9.814919299969915,10.291329009999753,10.045650499989279,10.455614899954526,476.4,440.0,506.0,238.8,188.0,276.0,715.2,628.0,782.0,38082.91480259604,27536.95657111665,82423.35171351973,2.7402793781101638,2.3163504693708,3.210662481681651,3334.27314453125,3276.80322265625,3379.75830078125,3334.27314453125,3276.80322265625,3379.75830078125,3334.27314453125,3276.80322265625,3379.75830078125,2.6,2.0,3.0,90.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol540,10,10,1.0,9.53139789000852,9.33433710000827,9.807300099986605,0.0397342700016452,0.028335299983154982,0.06138110000756569,0.0397342700016452,0.028335299983154982,0.06138110000756569,0.8529849999933503,0.7105284999997821,0.9527725999942049,0.8529849999933503,0.7105284999997821,0.9527725999942049,9.571132160010166,9.385076600010507,9.837540399981663,10.424117160003515,10.121013099997072,10.599653799989028,499.4,463.0,529.0,498.8,448.0,536.0,998.2,911.0,1065.0,26934.18769358258,17350.617696143123,35155.8666883714,2.374304602665038,2.0991367719980243,2.8148061618930322,3546.33349609375,3487.59619140625,3592.3642578125,3546.33349609375,3487.59619140625,3592.3642578125,3546.33349609375,3487.59619140625,3592.3642578125,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol640,10,8,0.8,18.894823259997064,18.488053300010506,19.212026699999114,0.022528420004528017,0.017420299991499633,0.030778500018641353,0.022528420004528017,0.017420299991499633,0.030778500018641353,0.7585954700043658,0.690628000011202,0.8492399000097066,0.7585954700043658,0.690628000011202,0.8492399000097066,18.917351680001595,18.508678400015924,19.237752599990927,19.67594715000596,19.27563650000957,20.086992500000633,480.0,450.0,504.0,238.8,188.0,276.0,718.8,638.0,780.0,32433.186436580378,25342.365597010383,36751.336953560414,2.6519747641216957,2.355047142718024,2.895915022222615,3338.78642578125,3283.607421875,3382.59619140625,3338.78642578125,3283.607421875,3382.59619140625,3338.78642578125,3283.607421875,3382.59619140625,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol640,10,10,1.0,18.894823259997064,18.488053300010506,19.212026699999114,0.04476624999952037,0.016775399999460205,0.06569089999538846,0.04476624999952037,0.016775399999460205,0.06569089999538846,0.8594260899961228,0.7370355000020936,0.943078099982813,0.8594260899961228,0.7370355000020936,0.943078099982813,18.939589509996587,18.504828700009966,19.273235600005137,19.799015599992707,19.38999390002573,20.20857829999295,503.0,473.0,527.0,498.8,448.0,536.0,1001.8,921.0,1063.0,26500.48518875157,14020.206757171156,62055.15218912795,2.352553831571637,2.1207151348721265,2.7135734981480795,3546.88662109375,3489.82666015625,3590.6279296875,3546.88662109375,3489.82666015625,3590.6279296875,3546.88662109375,3489.82666015625,3590.6279296875,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol720,10,9,0.9,16.017817930007006,9.663005700014764,19.013065899984213,0.021622590004699304,0.016433599987067282,0.025343400018755347,0.021622590004699304,0.016433599987067282,0.025343400018755347,0.7555236399988644,0.6752044000022579,0.9117594000126701,0.7555236399988644,0.6752044000022579,0.9117594000126701,16.039440520011702,9.681891100015491,19.03591979999328,16.79496416001057,10.393765300017549,19.858519899979,478.8,447.0,503.0,238.8,188.0,276.0,717.6,635.0,779.0,33541.044381590546,29848.92215217443,38640.34663736033,2.6672847204768577,2.193561152176997,2.962066005484135,3338.72314453125,3283.59228515625,3382.12060546875,3338.72314453125,3283.59228515625,3382.12060546875,3338.72314453125,3283.59228515625,3382.12060546875,2.6,2.0,3.0,90.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol720,10,10,1.0,16.017817930007006,9.663005700014764,19.013065899984213,0.04819214999733958,0.027099300001282245,0.08494400000199676,0.04819214999733958,0.027099300001282245,0.08494400000199676,0.8625704500038409,0.7525801000010688,0.9893613000167534,0.8625704500038409,0.7525801000010688,0.9893613000167534,16.066010080004343,9.73220769999898,19.053161199961323,16.928580530008183,10.489014500024496,20.042522499978077,501.8,470.0,526.0,498.8,448.0,536.0,1000.6,918.0,1062.0,23462.673773001545,10807.119984677209,39189.20414733037,2.3446486416905015,2.0215061979543094,2.6575244282929615,3546.03583984375,3487.14208984375,3590.60205078125,3546.03583984375,3487.14208984375,3590.60205078125,3546.03583984375,3487.14208984375,3590.60205078125,2.6,2.0,3.0,100.0
