sweep_axis,sweep_value,max_side,benchmark,method,rows,correct,accuracy,accuracy_percent,avg_total_time_sec,avg_smol_image_tokens,avg_smol_peak_mem_mb,avg_qwen_image_tokens,avg_qwen_peak_mem_mb,avg_image_tokens,avg_overall_peak_allocated_mb
smol,360,360,hrbench_4k,Smol_YOLO_Qwen_4B_smol360,10,8,0.8,80.0,10.431685109995305,1127.0,974.063818359375,238.8,3340.55205078125,238.8,3340.55205078125
smol,360,360,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol360,10,10,1.0,100.0,10.654219889992964,1127.0,974.063818359375,498.8,3547.66416015625,498.8,3547.66416015625
smol,480,480,hrbench_4k,Smol_YOLO_Qwen_4B_smol480,10,8,0.8,80.0,8.606503260004683,1127.0,973.782568359375,238.8,3338.34287109375,238.8,3338.34287109375
smol,480,480,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol480,10,10,1.0,100.0,8.8572006900009,1127.0,973.782568359375,498.8,3546.56083984375,498.8,3546.56083984375
smol,540,540,hrbench_4k,Smol_YOLO_Qwen_4B_smol540,10,9,0.9,90.0,8.564045269988128,1127.0,981.045068359375,238.8,3335.54482421875,238.8,3335.54482421875
smol,540,540,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol540,10,10,1.0,100.0,8.819924049996189,1127.0,981.045068359375,498.8,3544.46572265625,498.8,3544.46572265625
smol,640,640,hrbench_4k,Smol_YOLO_Qwen_4B_smol640,10,8,0.8,80.0,8.473628230005852,1127.0,974.157568359375,238.8,3339.6197265625,238.8,3339.6197265625
smol,640,640,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol640,10,10,1.0,100.0,8.736530440009664,1127.0,974.157568359375,498.8,3549.16259765625,498.8,3549.16259765625
smol,720,720,hrbench_4k,Smol_YOLO_Qwen_4B_smol720,10,8,0.8,80.0,8.757700170000316,1127.0,981.045068359375,238.8,3340.57421875,238.8,3340.57421875
smol,720,720,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol720,10,10,1.0,100.0,9.00554077999259,1127.0,981.045068359375,498.8,3547.38916015625,498.8,3547.38916015625
smol,800,800,hrbench_4k,Smol_YOLO_Qwen_4B_smol800,10,9,0.9,90.0,8.518612070000382,1127.0,974.157568359375,238.8,3337.6212890625,238.8,3337.6212890625
smol,800,800,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol800,10,10,1.0,100.0,8.766827830005786,1127.0,974.157568359375,498.8,3545.96240234375,498.8,3545.96240234375
smol,960,960,hrbench_4k,Smol_YOLO_Qwen_4B_smol960,10,8,0.8,80.0,8.601951179999741,1127.0,981.045068359375,238.8,3339.029296875,238.8,3339.029296875
smol,960,960,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol960,10,10,1.0,100.0,8.844306809990666,1127.0,981.045068359375,498.8,3546.71416015625,498.8,3546.71416015625
smol,1080,1080,hrbench_4k,Smol_YOLO_Qwen_4B_smol1080,10,8,0.8,80.0,8.759521209995729,1127.0,974.157568359375,238.8,3339.46025390625,238.8,3339.46025390625
smol,1080,1080,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol1080,10,8,0.8,80.0,9.005128319986397,1127.0,974.157568359375,498.8,3547.18212890625,498.8,3547.18212890625
smol,1280,1280,hrbench_4k,Smol_YOLO_Qwen_4B_smol1280,10,10,1.0,100.0,8.536509580005077,1127.0,981.045068359375,238.8,3339.50791015625,238.8,3339.50791015625
smol,1280,1280,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol1280,10,10,1.0,100.0,8.780851650005207,1127.0,981.045068359375,498.8,3549.29091796875,498.8,3549.29091796875
